,0,1,2
401,"(127, 643)","(157, 579)","(163, 47)"
402,"(42, 609)","(63, 508)","(68, 432)"
403,"(64, 222)","(64, 228)","(78, 209)"
404,"(94, 182)","(112, 378)","(117, 3)"
405,"(36, 18)","(79, 266)","(86, 712)"
406,"(33, 288)","(34, 197)","(59, 710)"
407,"(31, 238)","(35, 509)","(40, 196)"
408,"(25, 372)","(69, 179)","(77, 258)"
409,"(8, 269)","(58, 199)","(69, 191)"
410,"(28, 527)","(30, 266)","(58, 712)"
411,"(11, 46)","(46, 634)","(50, 415)"
412,"(51, 397)","(56, 168)","(73, 512)"
413,"(32, 418)","(47, 416)","(53, 512)"
414,"(26, 482)","(29, 425)","(41, 604)"
415,"(44, 46)","(48, 425)","(50, 411)"
416,"(6, 512)","(47, 413)","(75, 418)"
417,"(6, 533)","(11, 448)","(21, 303)"
418,"(25, 588)","(32, 413)","(66, 334)"
419,"(32, 278)","(43, 594)","(43, 634)"
420,"(43, 181)","(47, 650)","(49, 38)"
421,"(62, 383)","(157, 48)","(171, 405)"
422,"(76, 99)","(113, 503)","(147, 440)"
423,"(36, 71)","(99, 689)","(103, 537)"
424,"(23, 316)","(52, 129)","(71, 719)"
425,"(29, 414)","(48, 415)","(55, 482)"
426,"(56, 20)","(56, 384)","(99, 110)"
427,"(89, 466)","(99, 576)","(112, 131)"
428,"(36, 708)","(63, 168)","(65, 472)"
429,"(41, 353)","(63, 275)","(115, 645)"
430,"(10, 338)","(15, 488)","(53, 310)"
431,"(11, 272)","(49, 641)","(83, 145)"
432,"(39, 508)","(43, 609)","(51, 583)"
433,"(15, 114)","(33, 604)","(37, 482)"
434,"(41, 213)","(54, 580)","(86, 160)"
435,"(15, 684)","(126, 305)","(145, 143)"
436,"(70, 537)","(71, 176)","(81, 563)"
437,"(213, 50)","(257, 281)","(259, 464)"
438,"(59, 622)","(82, 531)","(86, 239)"
439,"(56, 253)","(90, 96)","(93, 192)"
440,"(56, 101)","(57, 716)","(72, 503)"
441,"(94, 239)","(97, 384)","(115, 531)"
442,"(70, 12)","(87, 449)","(116, 323)"
443,"(82, 711)","(86, 569)","(125, 485)"
444,"(52, 654)","(125, 290)","(132, 60)"
445,"(75, 581)","(84, 633)","(104, 469)"
446,"(60, 504)","(103, 125)","(104, 245)"
447,"(47, 582)","(52, 39)","(67, 38)"
448,"(11, 417)","(13, 533)","(33, 303)"
449,"(87, 442)","(92, 511)","(115, 555)"
450,"(52, 526)","(54, 525)","(58, 524)"
451,"(46, 718)","(89, 713)","(123, 362)"
452,"(24, 224)","(31, 255)","(37, 226)"
453,"(29, 472)","(66, 289)","(66, 428)"
454,"(26, 127)","(55, 319)","(88, 94)"
455,"(67, 693)","(87, 357)","(93, 243)"
456,"(102, 269)","(102, 409)","(159, 199)"
457,"(22, 507)","(43, 688)","(55, 623)"
458,"(426, 353)","(430, 429)","(450, 645)"
459,"(51, 677)","(65, 227)","(74, 608)"
460,"(72, 328)","(141, 33)","(164, 626)"
461,"(43, 492)","(56, 351)","(85, 359)"
462,"(34, 574)","(35, 160)","(48, 360)"
463,"(58, 61)","(98, 335)","(103, 114)"
464,"(59, 156)","(122, 62)","(164, 87)"
465,"(23, 284)","(51, 514)","(52, 564)"
466,"(63, 361)","(86, 476)","(89, 427)"
467,"(50, 683)","(67, 502)","(74, 707)"
468,"(49, 663)","(101, 539)","(112, 559)"
469,"(104, 445)","(105, 499)","(118, 633)"
470,"(37, 542)","(101, 244)","(102, 102)"
471,"(36, 89)","(55, 489)","(123, 4)"
472,"(29, 453)","(38, 289)","(56, 43)"
473,"(46, 380)","(79, 56)","(86, 491)"
474,"(35, 681)","(48, 176)","(77, 563)"
475,"(61, 543)","(89, 585)","(99, 391)"
476,"(42, 579)","(45, 361)","(86, 466)"
477,"(75, 647)","(94, 214)","(149, 690)"
478,"(95, 396)","(117, 33)","(132, 549)"
479,"(48, 97)","(98, 325)","(133, 519)"
480,"(67, 362)","(67, 713)","(96, 718)"
481,"(61, 629)","(78, 66)","(132, 520)"
482,"(14, 604)","(26, 414)","(37, 433)"
483,"(60, 124)","(91, 285)","(122, 300)"
484,"(31, 21)","(65, 122)","(98, 8)"
485,"(50, 604)","(62, 482)","(78, 433)"
486,"(66, 32)","(100, 494)","(107, 34)"
487,"(295, 513)","(298, 529)","(415, 695)"
488,"(15, 430)","(24, 338)","(67, 310)"
489,"(55, 471)","(76, 89)","(84, 4)"
490,"(48, 672)","(79, 82)","(84, 350)"
491,"(41, 380)","(86, 473)","(102, 151)"
492,"(43, 461)","(97, 351)","(108, 653)"
493,"(49, 638)","(83, 631)","(88, 680)"
494,"(6, 34)","(100, 486)","(142, 32)"
495,"(66, 705)","(163, 667)","(166, 460)"
496,"(12, 706)","(24, 675)","(64, 396)"
497,"(55, 342)","(129, 249)","(136, 528)"
498,"(60, 568)","(118, 623)","(127, 276)"
499,"(21, 606)","(92, 581)","(105, 469)"
500,"(111, 667)","(119, 702)","(121, 705)"
501,"(81, 344)","(101, 246)","(102, 145)"
502,"(47, 707)","(52, 698)","(55, 601)"
503,"(44, 99)","(72, 440)","(90, 101)"
504,"(43, 245)","(60, 446)","(148, 125)"
505,"(20, 572)","(23, 199)","(35, 191)"
506,"(60, 139)","(67, 82)","(92, 330)"
507,"(22, 457)","(62, 623)","(63, 688)"
508,"(20, 609)","(39, 432)","(63, 402)"
509,"(35, 407)","(37, 19)","(45, 196)"
510,"(48, 120)","(61, 296)","(90, 163)"
511,"(92, 449)","(111, 5)","(145, 555)"
512,"(6, 416)","(53, 413)","(73, 412)"
513,"(135, 529)","(230, 695)","(295, 487)"
514,"(28, 284)","(28, 350)","(47, 564)"
515,"(31, 540)","(84, 309)","(86, 297)"
516,"(26, 315)","(65, 330)","(118, 29)"
517,"(32, 360)","(40, 574)","(72, 462)"
518,"(70, 132)","(83, 6)","(109, 170)"
519,"(23, 686)","(54, 554)","(79, 325)"
520,"(90, 367)","(107, 121)","(125, 348)"
521,"(37, 688)","(76, 457)","(94, 507)"
522,"(74, 187)","(95, 508)","(96, 701)"
523,"(58, 345)","(79, 282)","(91, 393)"
524,"(6, 526)","(36, 525)","(58, 450)"
525,"(35, 526)","(36, 524)","(54, 450)"
526,"(6, 524)","(35, 525)","(52, 450)"
527,"(28, 410)","(57, 266)","(82, 668)"
528,"(101, 694)","(106, 276)","(126, 688)"
529,"(135, 513)","(298, 487)","(352, 642)"
530,"(46, 375)","(74, 544)","(98, 302)"
531,"(21, 239)","(40, 622)","(82, 438)"
532,"(28, 605)","(81, 526)","(82, 524)"
533,"(6, 417)","(13, 448)","(23, 303)"
534,"(43, 25)","(57, 74)","(71, 578)"
535,"(57, 509)","(63, 252)","(72, 19)"
536,"(31, 113)","(70, 262)","(94, 515)"
537,"(68, 71)","(70, 436)","(97, 279)"
538,"(92, 62)","(161, 281)","(172, 464)"
539,"(87, 559)","(101, 468)","(113, 663)"
540,"(31, 515)","(60, 297)","(85, 314)"
541,"(15, 546)","(50, 180)","(60, 135)"
542,"(37, 470)","(70, 244)","(102, 36)"
543,"(31, 585)","(57, 351)","(59, 359)"
544,"(73, 313)","(74, 530)","(91, 687)"
545,"(18, 65)","(25, 57)","(62, 91)"
546,"(15, 541)","(38, 180)","(50, 135)"
547,"(53, 379)","(57, 630)","(65, 88)"
548,"(21, 75)","(55, 77)","(64, 268)"
549,"(98, 172)","(117, 33)","(132, 355)"
550,"(93, 664)","(101, 292)","(130, 633)"
551,"(47, 558)","(86, 291)","(115, 339)"
552,"(10, 377)","(61, 231)","(61, 379)"
553,"(14, 140)","(26, 128)","(56, 133)"
554,"(30, 686)","(54, 519)","(123, 325)"
555,"(109, 7)","(115, 449)","(124, 323)"
556,"(74, 663)","(115, 468)","(128, 559)"
557,"(37, 624)","(85, 106)","(98, 364)"
