,address,zipcode,city,state,latitude,longitude,amount
2305,1240 South Lowell Boulevard,80219,Denver,CO,39.694151,-105.034043,345054
2306,1431 Lafayette Street,80218,Denver,CO,39.739,-104.971014,687221
2307,1453 Williams Street,80218,Denver,CO,39.7394,-104.966334,1281592
2308,4058 Pecos Street,80211,Denver,CO,39.772869,-105.006189,364551
2309,20 South Parker Road,80231,Denver,CO,39.695157,-104.893637,119331
2310,4310 Iran Street,,,,,,
2311,1048 Mariposa Street,80204,Denver,CO,39.733038,-105.002447,669316
2312,2206 East 31st Avenue,,,,,,
2313,4241 Thompson Court,80216,Denver,CO,39.775934,-104.954969,268947
2314,518 South Quitman Street,80219,Denver,CO,39.707659,-105.040512,310338
2315,1266 Vrain Street,80204,Denver,CO,39.736467,-105.046378,1162505
2316,4331 East 7th Avenue,,,,,,
2317,5049 Perry Street,80212,Denver,CO,39.788292,-105.039568,533242
2318,20320 East 49th Avenue,80249,Denver,CO,39.770494,-104.751832,354107
2319,3890 West 14th Avenue,80204,Denver,CO,39.738291,-105.037804,456686
2320,4218 East 11th Avenue,,,,,,
2321,3828 West 24th Avenue,80211,Denver,CO,39.751871,-105.037566,522673
2322,4037 West 5th Avenue,,,,,,
2323,2505 West 2nd Avenue,,,,,,
2324,2498 West 2nd Avenue,,,,,,
2325,2727 West 2nd Avenue,,,,,,
2326,251 Logan Street,80203,Denver,CO,39.720348,-104.982928,
2327,4725 Wyandot Street,80211,Denver,CO,39.781924,-105.014574,459045
2328,3212 Stuart Street,80212,Denver,CO,39.762335,-105.042615,1025369
2329,456 Washington Street,80203,Denver,CO,39.723548,-104.978418,978927
2330,2020 Hooker Street,80211,Denver,CO,39.747857,-105.028111,465422
2331,2602 West 24th Avenue,80211,Denver,CO,39.752207,-105.019332,768355
2332,1600 South Sherman Street,80210,Denver,CO,39.687414,-104.984824,629210
2333,1248 Columbine Street,80206,Denver,CO,39.736085,-104.95711,876316
2334,2036 Larimer Street,80205,Denver,CO,39.753256,-104.991654,841855
2335,1360 West Gill Place,80223,Denver,CO,39.704621,-105.005439,402424
2336,1440 18th Street,,,,,,
2337,3214 Gaylord Street,80205,Denver,CO,39.762353,-104.960645,584508
2338,1670 Vrain Street,80204,Denver,CO,39.743376,-105.045998,686138
2339,3415 Bryant Street,80211,Denver,CO,39.764801,-105.019221,620290
2340,1634 Downing Street,,,,,,
2341,2894 Eudora Street,80207,Denver,CO,39.760021,-104.930217,432951
2342,134 East Virginia Avenue,,,,,,
2343,444 South Lincoln Street,80209,Denver,CO,39.708476,-104.986043,480117
2344,2682 East 31st Avenue,,,,,,
2345,7054 East 36th Avenue,,,,,,
2346,3456 Mariposa Street,80211,Denver,CO,39.76551,-105.002629,861873
2347,3101 West 31st Avenue,,,,,,
2348,4628 South Kipling Street,,,,,,
